股票代码,公司名称,年份,总词数,积极词数,消极词数,情绪指标
600309.SH,万华化学,2021,7241,974,58,0.1265
600309.SH,万华化学,2022,6400,826,86,0.1156
300059.SZ,东方财富,2021,4733,537,35,0.1061
300059.SZ,东方财富,2022,4935,617,51,0.1147
600030.SH,中信证券,2021,4101,383,47,0.0819
600030.SH,中信证券,2022,3369,264,23,0.0715
601318.SH,中国平安,2021,30970,3547,794,0.0889
601318.SH,中国平安,2022,29461,3354,770,0.0877
600028.SH,中国石化,2021,2527,183,13,0.0673
600028.SH,中国石化,2022,2582,127,64,0.0244
688981.SH,中芯国际,2021,7846,589,218,0.0473
688981.SH,中芯国际,2022,6439,484,179,0.0474
000858.SZ,五 粮 液,2021,4630,474,24,0.0972
000858.SZ,五 粮 液,2022,4487,387,16,0.0827
000725.SZ,京东方Ａ,2021,6137,615,32,0.095
000725.SZ,京东方Ａ,2022,6603,725,40,0.1037
600887.SH,伊利股份,2021,6301,793,57,0.1168
600887.SH,伊利股份,2022,6807,855,81,0.1137
601166.SH,兴业银行,2021,18099,2312,403,0.1055
601166.SH,兴业银行,2022,20847,2672,485,0.1049
601288.SH,农业银行,2021,13501,1515,359,0.0856
601288.SH,农业银行,2022,12994,1402,346,0.0813
600809.SH,山西汾酒,2021,4377,528,26,0.1147
600809.SH,山西汾酒,2022,3844,482,31,0.1173
601398.SH,工商银行,2021,19496,2269,453,0.0931
601398.SH,工商银行,2022,20402,2464,478,0.0973
600036.SH,招商银行,2021,22082,2063,660,0.0635
600036.SH,招商银行,2022,21403,2176,697,0.0691
000651.SZ,格力电器,2021,12979,1487,136,0.1041
000651.SZ,格力电器,2022,12699,1711,133,0.1243
002594.SZ,比亚迪,2021,8029,740,56,0.0852
002594.SZ,比亚迪,2022,9687,931,92,0.0866
300124.SZ,汇川技术,2021,15815,1410,107,0.0824
300124.SZ,汇川技术,2022,19080,1662,198,0.0767
600919.SH,江苏银行,2021,7697,926,148,0.1011
600919.SH,江苏银行,2022,7928,895,182,0.0899
000568.SZ,泸州老窖,2021,5654,734,49,0.1212
000568.SZ,泸州老窖,2022,5397,595,45,0.1019
002415.SZ,海康威视,2021,23757,2324,225,0.0884
002415.SZ,海康威视,2022,20111,1830,263,0.0779
300498.SZ,温氏股份,2021,16064,1140,283,0.0533
300498.SZ,温氏股份,2022,16724,1219,292,0.0554
002714.SZ,牧原股份,2021,8328,595,150,0.0534
002714.SZ,牧原股份,2022,9590,709,168,0.0564
002475.SZ,立讯精密,2021,10093,1030,91,0.093
002475.SZ,立讯精密,2022,7513,746,89,0.0874
601899.SH,紫金矿业,2021,13057,1162,132,0.0789
601899.SH,紫金矿业,2022,9608,801,140,0.0688
000333.SZ,美的集团,2021,20150,2514,155,0.1171
000333.SZ,美的集团,2022,23288,3036,231,0.1204
603259.SH,药明康德,2021,9556,868,162,0.0739
603259.SH,药明康德,2022,8868,859,147,0.0803
600519.SH,贵州茅台,2021,3361,360,24,0.1
600519.SH,贵州茅台,2022,3788,411,39,0.0982
300760.SZ,迈瑞医疗,2021,30862,2574,194,0.0771
300760.SZ,迈瑞医疗,2022,34772,3373,257,0.0896
600900.SH,长江电力,2021,5480,588,60,0.0964
600900.SH,长江电力,2022,6328,692,57,0.1003
601012.SH,隆基绿能,2022,6275,629,104,0.0837
601012.SH,隆基绿能,2021,6505,662,117,0.0838
